fund_name,link_pdf_factsheet,as_of_date
HIDIV-AR,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0000_2552.pdf,2025-12-30
HIDIV-D,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0000_2552.pdf,2025-12-30
HIDIV-SSF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0000_2552.pdf,2025-12-30
HI-DIV,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0000_2552.pdf,2025-12-30
SF5,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2530.pdf,2025-12-30
TNP,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2531.pdf,2025-12-30
KPLUS,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2536.pdf,2025-12-30
ONE-FAR,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2540.pdf,2025-12-30
PRINCIPAL SET50-A,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2552.pdf,2025-12-30
PRINCIPAL SET50-E,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2552.pdf,2025-12-30
ONE-GLOBALTOP8M10,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2564.pdf,2025-12-30
BP1/22 (AI),https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2565.pdf,2022-01-12
KTTHFIX1Y1-UI,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2566.pdf,2023-03-13
BP2/25 (AI),https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2568.pdf,2025-01-16
KFTGB6M56,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0001_2569.pdf,2026-02-02
SF4,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2530.pdf,2025-12-30
SAN,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2533.pdf,2025-12-30
ES-TM,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2545.pdf,2025-12-30
UGIS-A,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2560.pdf,2025-12-30
UGIS-N,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2560.pdf,2025-12-30
UGIS-SSF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2560.pdf,2025-12-30
SCBDPLUSA,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2563.pdf,2025-12-31
MSI14AI,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2565.pdf,2022-02-01
BP1/23 (AI),https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2566.pdf,2023-01-11
TGOV7M8,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2568.pdf,2025-07-31
ES-GOVCP6M51,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0002_2569.pdf,2026-01-19
RPF2,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2533.pdf,2025-12-30
ES-EQUITY,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2537.pdf,2025-12-30
SCBSFF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2539.pdf,2025-12-31
SI5A4,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2561.pdf,2025-12-30
SCBFF1YL6,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2562.pdf,2019-01-15
KFF6MHX,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2563.pdf,2020-01-07
SCBASF1YE8,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2566.pdf,2023-01-17
UGOV6M26,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2568.pdf,2025-04-17
B1/26,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0003_2569.pdf,2026-01-14
TISCOEQF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2535.pdf,2025-12-31
TOF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2545.pdf,2025-12-30
TCHRMF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2556.pdf,2025-12-31
ES-JPNAE-A,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2559.pdf,2025-12-30
ES-JPNAE-R,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2559.pdf,2025-12-30
SCBFF6MI1,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2561.pdf,2018-02-06
SCBFF6ML2,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2562.pdf,2019-01-15
KFF1YHH,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2563.pdf,2020-01-07
SCBAAA,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2564.pdf,2025-12-31
B-SMEQ,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2565.pdf,2025-12-31
SCBASF3ME4,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2566.pdf,2023-01-11
UGOV6M27,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0004_2568.pdf,2025-03-28
TISCOEGF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2535.pdf,2025-12-31
SCBDA,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2537.pdf,2025-12-31
SCBDAP,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2537.pdf,2025-12-31
TISCOFLEXP,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2539.pdf,2025-12-31
SCBCHA,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2558.pdf,2025-12-31
SCBCHA(SSFE),https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2558.pdf,2025-12-31
SCBCHAA,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2558.pdf,2025-12-31
SCBCHAE,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2558.pdf,2025-12-31
SCBCHAP,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2558.pdf,2025-12-31
SCBCHA-SSF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2558.pdf,2025-12-31
SCBFF6MI2,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2561.pdf,2018-04-18
SCBFF3MD8,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2562.pdf,2019-01-15
UINC-A,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2563.pdf,2025-12-30
UINC-N,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2563.pdf,2025-12-30
MFTECH,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2564.pdf,2025-12-30
SCBCIO(A),https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2565.pdf,2025-12-31
SCBASF6MR9,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2566.pdf,2023-01-11
UGOV6M28,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0005_2568.pdf,2025-08-13
SCBRF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0006_2539.pdf,2025-12-31
TISCOAGF,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0006_2543.pdf,2025-12-31
PRINCIPAL GMV-A,https://secdocumentstorage.blob.core.windows.net/fundfactsheet/M0006_2561.pdf,2025-12-30
